"SITE_ID","YEAR","WEEK","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"GRS420","2013.0","38.0","09/17/2013 09:00:00","09/24/2013 08:00:00","0.408","2.468","0.055","0.985","1.025","0.781","0.088","0.081","0.023","0.057","0.015"
"GRS420","2017.0","39.0","09/26/2017 09:00:00","10/03/2017 08:00:00","0.642","1.335","0.515","0.912","1.413","0.496","0.401","0.099","0.077","0.061","0.046"
"GRS420","2014.0","37.0","09/09/2014 09:00:00","09/16/2014 08:00:00","0.124","1.882","0.125","0.622","0.737","0.637","0.053","0.027","0.011","0.049","0.015"
"GRS420","2014.0","36.0","09/02/2014 09:00:00","09/09/2014 08:00:00","0.159","1.432","0.043","0.625","0.657","0.319","0.082","0.089","0.027","0.057","0.016"
"GRS420","2014.0","39.0","09/23/2014 09:00:00","09/30/2014 08:00:00","0.322","0.996","0.08","0.666","0.735","0.267","0.129","0.026","0.023","0.044","0.016"
"GRS420","2015.0","36.0","09/01/2015 09:00:00","09/08/2015 08:00:00","0.665","3.189","0.339","1.272","1.59","1.024","0.263","0.109","0.049","0.096","0.016"
"GRS420","2013.0","39.0","09/24/2013 09:00:00","10/01/2013 08:00:00","0.259","1.749","0.112","0.779","0.879","0.652","0.059","0.045","0.016","0.051","0.016"
"GRS420","2013.0","37.0","09/10/2013 09:00:00","09/17/2013 08:00:00","0.752","2.774","0.143","1.117","1.242","0.952","0.18","0.07","0.035","0.06","0.015"
"GRS420","2017.0","38.0","09/19/2017 09:00:00","09/26/2017 08:00:00","0.353","1.767","0.275","1.18","1.436","0.644","0.211","0.039","0.039","0.072","0.016"
"GRS420","2015.0","37.0","09/08/2015 09:00:00","09/15/2015 08:00:00","0.379","1.015","0.051","0.565","0.607","0.322","0.057","0.043","0.015","0.043","0.015"
"GRS420","2014.0","38.0","09/16/2014 09:00:00","09/23/2014 08:00:00","0.382","2.166","0.134","0.835","0.956","0.624","0.165","0.109","0.036","0.061","0.015"
"GRC474","2013.0","37.0","09/10/2013 09:00:00","09/17/2013 08:00:00","0.163","0.497","0.13","0.832","0.949","0.228","0.084","0.03","0.012","0.023","0.013"
"GRC474","2015.0","36.0","09/01/2015 09:00:00","09/08/2015 08:00:00","0.351","0.878","0.403","0.403","0.799","0.277","0.131","0.132","0.028","0.026","0.013"
"GRC474","2016.0","39.0","09/20/2016 09:00:00","09/27/2016 08:00:00","0.227","0.448","0.255","0.317","0.567","0.209","0.307","0.1","0.034","0.042","0.041"
"GRC474","2016.0","40.0","09/27/2016 09:00:00","10/04/2016 08:00:00","0.222","0.313","0.137","0.27","0.403","0.139","0.085","0.031","0.012","0.017","0.036"
"GRC474","2013.0","38.0","09/17/2013 09:00:00","09/24/2013 08:00:00","0.224","0.6","0.248","0.406","0.647","0.225","0.203","0.102","0.031","0.026","0.033"
"GRC474","2014.0","37.0","09/09/2014 09:00:00","09/16/2014 08:00:00","0.118","0.579","0.144","0.669","0.803","0.215","0.138","0.059","0.023","0.023","0.013"
"GRC474","2014.0","38.0","09/16/2014 09:00:00","09/23/2014 08:00:00","0.091","0.415","0.136","0.467","0.596","0.16","0.085","0.045","0.014","0.011","0.013"
"GRC474","2013.0","36.0","09/03/2013 09:00:00","09/10/2013 08:00:00","0.117","0.904","0.125","0.555","0.671","0.296","0.129","0.025","0.013","0.024","0.013"
"GRC474","2015.0","37.0","09/08/2015 09:00:00","09/15/2015 08:00:00","0.321","0.691","0.142","0.478","0.612","0.233","0.146","0.042","0.022","0.022","0.013"
"GRC474","2014.0","36.0","09/02/2014 09:00:00","09/09/2014 08:00:00","0.054","0.558","0.307","0.315","0.617","0.18","0.146","0.103","0.023","0.02","0.022"
"GRC474","2016.0","37.0","09/06/2016 09:00:00","09/13/2016 08:00:00","0.228","0.646","0.589","0.331","0.914","0.199","0.305","0.259","0.057","0.04","0.097"
"GRC474","2017.0","38.0","09/19/2017 09:00:00","09/26/2017 08:00:00","","","","","","","","","","",""
"GRC474","2014.0","39.0","09/23/2014 09:00:00","09/30/2014 08:00:00","0.186","0.556","0.268","0.477","0.737","0.172","0.144","0.113","0.027","0.019","0.021"
"GRC474","2017.0","37.0","09/12/2017 09:00:00","09/19/2017 08:00:00","0.368","0.552","0.326","0.471","0.79","0.201","0.171","0.119","0.029","0.029","0.041"
"GRC474","2016.0","38.0","09/13/2016 09:00:00","09/20/2016 08:00:00","0.146","0.34","0.222","0.345","0.561","0.117","0.221","0.098","0.03","0.024","0.08"
"GRC474","2014.0","40.0","09/30/2014 09:00:00","10/07/2014 08:00:00","0.33","0.331","0.075","0.599","0.664","0.126","0.097","0.03","0.018","0.012","0.013"
"GRC474","2013.0","39.0","09/24/2013 09:00:00","10/01/2013 08:00:00","0.255","0.364","0.2","0.318","0.512","0.14","0.138","0.072","0.021","0.017","0.017"
"GRC474","2015.0","39.0","09/22/2015 09:00:00","09/29/2015 08:00:00","0.378","0.664","0.182","0.653","0.825","0.242","0.183","0.041","0.024","0.02","0.013"
"GRC474","2015.0","40.0","09/29/2015 09:00:00","10/06/2015 08:00:00","0.207","0.559","0.313","0.341","0.648","0.167","0.195","0.129","0.035","0.027","0.11"
"GRC474","2017.0","39.0","09/26/2017 09:00:00","10/03/2017 08:00:00","0.362","0.423","0.17","0.692","0.851","0.177","0.161","0.047","0.022","0.02","0.014"
"GRC474","2017.0","36.0","09/05/2017 09:00:00","09/12/2017 08:00:00","0.18","0.661","0.061","0.67","0.721","0.25","0.137","0.016","0.016","0.044","0.013"
"GRC474","2015.0","38.0","09/15/2015 09:00:00","09/22/2015 08:00:00","0.34","0.395","0.207","0.397","0.597","0.14","0.126","0.062","0.02","0.016","0.015"
